
IRIS                                   
   wavelength         illumination       std. dev.

      2.0000              1.0000             0.0000
      3.0000              1.0000             0.0000
      4.0000              1.0000             0.0000
      5.0000              1.0000             0.0000
      6.0000              0.9994             0.0003
      7.0000              0.9942             0.0005
      8.0000              0.9805             0.0019
      9.0000              0.9597             0.0016
     10.0000              0.9321             0.0023
     11.0000              0.9004             0.0019
     12.0000              0.8663             0.0017
     13.0000              0.8319             0.0046
     14.0000              0.7910             0.0047
     15.0000              0.7523             0.0044
     16.0000              0.7170             0.0065
     17.0000              0.6729             0.0027
     18.0000              0.6347             0.0050
     19.0000              0.6027             0.0031
     20.0000              0.5614             0.0088
