IRIS                                   
   wavelength         reflections       std. dev.

      2.000                4.313             0.028
      3.000                3.730             0.016
      4.000                4.587             0.010
      5.000                5.650             0.025
      6.000                6.755             0.016
      7.000                7.962             0.038
      8.000                9.100             0.028
      9.000               10.102             0.040
     10.000               10.994             0.050
     11.000               12.124             0.063
     12.000               13.236             0.049
     13.000               14.095             0.083
     14.000               14.789             0.095
     15.000               15.452             0.068
     16.000               16.075             0.136
     17.000               16.825             0.089
     18.000               17.405             0.145
     19.000               18.102             0.101
     20.000               18.366             0.182
