
IRIS                                   
   wavelength         transmission        std. dev.

      2.000              0.106             0.004
      3.000              0.336             0.003
      4.000              0.580             0.003
      5.000              0.622             0.001
      6.000              0.626             0.004
      7.000              0.639             0.004
      8.000              0.640             0.004
      9.000              0.634             0.004
     10.000              0.631             0.004
     11.000              0.646             0.005
     12.000              0.658             0.002
     13.000              0.653             0.003
     14.000              0.643             0.008
     15.000              0.629             0.006
     16.000              0.628             0.007
     17.000              0.629             0.003
     18.000              0.631             0.004
     19.000              0.631             0.005
     20.000              0.627             0.006
